Scenario,Peak_O3_ppb,O3_Reduction_%,Mean_NO2_ppb
Baseline,43.46843250078522,0.0,25.161568108078185
NO$_x$ Reduction (50%),43.46843247694601,5.484257492582856e-08,19.184398553342817
Improved Ventilation,44.130691125622455,-1.5235392369514988,20.422227792481227
Combined Strategy,43.92369440740877,-1.0473391388459374,17.804289222097616
